filename,codec,episode,episode_title,language,media_type,resolution,season,source,studio,title,year
The-Dark-Knight-S06E04-2160p-DVDRip-x264-.AMIABLE.mkv,,4,,,tv,2160p,6,DVDRip,,The Dark Knight,
[SubsPlease] Jujutsu Kaisen - 09 [720p][10bit].mkv,,9,,,anime,720p,,,SubsPlease,Jujutsu Kaisen,
The.Mandalorian.s14e15.1080p.BluRay.mkv,,15,,,tv,,14,,,The Mandalorian,
Jujutsu-Kaisen-1983-2160p-WEB-DL-HEVC-VEXT.mkv,HEVC,,,,movie,2160p,,WEB-DL,,Jujutsu Kaisen,1983
Stranger Things 2009 EXTENDED 720p DD5.1 WEB-DL x264 -GROUP.mkv,x264,,,,movie,720p,,WEB-DL,,Stranger Things,2009
Fullmetal_Alchemist_S08E15_2160p_10bit_AAC_NETFLIX_AVC.mkv,,15,,,tv,2160p,8,NETFLIX,,Fullmetal Alchemist,
[HorribleSubs] Parasite.-.09.(1440p).mkv,,9,,,anime,1440p,,,HorribleSubs,Parasite,
Game_of_Thrones_S03E06_Legacy_1440p_NETFLIX_x265_.RARBG.mkv,,6,Aftermath,,tv,1440p,3,NETFLIX,,Game of Thrones,
One-Piece-S02E04-2160p-DC-HULU-x265-.YIFY.mkv,,4,,,tv,2160p,2,HULU,,One Piece,
[Underwater] The Mandalorian - 03 [1080p].mkv,,3,,,anime,1080p,,,Underwater,The Mandalorian,
[Judas] Pulp Fiction - 18 [BD][1080p][HEVC].mkv,,18,,,anime,1080p,,,Judas,Pulp Fiction,
Breaking-Bad.7x09.1080p.NETFLIX.mkv,,9,,,tv,,7,,,Breaking Bad,
The-Shawshank-Redemption-2017-1440p-NETFLIX-HEVC.mkv,HEVC,,,,movie,1440p,,NETFLIX,,The Shawshank Redemption,2017
[Judas] Friends S3 - 07 [BD][2160p][HEVC].mkv,,7,,,anime,2160p,S3,,Judas,Friends,
Avengers_Endgame.2000.720p.NETFLIX.x265.mkv,,,,,movie,720p,,,,Avengers Endgame,2000
[HorribleSubs] Breaking Bad - 06 [1440p].mkv,,6,,,anime,,,,HorribleSubs,Breaking Bad,
The Godfather S07E14 1080p DVDRip AVC.mkv,,14,,,tv,1080p,7,DVDRip,,The Godfather,
Stranger-Things.1991.2160p.BluRay.XVID.mkv,,,,,movie,2160p,,,,Stranger Things,1991
Death Note S15E17E18 Pilot 1080p NETFLIX HEVC -GROUP.mkv,,17,New Dawn,,tv,1080p,15,NETFLIX,,Death Note,
Parasite-S03E03-720p-DVDRip-AAC-AVC-.YIFY.mkv,,3,,,tv,720p,3,DVDRip,,Parasite,
Inception 15x12 Pilot 1440p HULU x264 -AMIABLE.mkv,,12,Aftermath,,tv,1440p,15,HULU,,Inception,
My.Hero.Academia.2000.2160p.WEB-DL.H.264.mkv,,,,,movie,2160p,,,,My Hero Academia,2000
[Erai-raws] Pulp Fiction - 24 [1080p][HEVC].mkv,,24,,,anime,1080p,,,Erai-raws,Pulp Fiction,
[HorribleSubs] Stranger.Things.-.18.(1080p).mkv,,18,,,anime,1080p,,,HorribleSubs,Stranger Things,
One Piece 1984 KOREAN 720p NETFLIX x264.mkv,x264,,,KOREAN,movie,720p,,NETFLIX,,One Piece,1984
Jujutsu.Kaisen.1980.720p.DVDRip.HEVC.mkv,,,,,movie,720p,,,,Jujutsu Kaisen,1980
One Piece 2015.12.27 The Beginning 1440p AMZN AVC -AMIABLE.mkv,,,Pilot,,tv,1440p,,AMZN,,One Piece,
Inception_2019.06.27_New_Dawn_REMUX_DTS_480p_HDTV_HEVC.mkv,,,Aftermath,,tv,480p,,HDTV,,Inception,
[HorribleSubs] Breaking Bad - 17 [1440p].mkv,,17,,,anime,,,,HorribleSubs,Breaking Bad,
[Commie] Stranger Things - 09 [1080p].mkv,,9,,,anime,1080p,,,Commie,Stranger Things,
Breaking_Bad_1988_1080p_BluRay_AVC.mkv,AVC,,,,movie,1080p,,BluRay,,Breaking Bad,1988
Interstellar S07E03E04 1080p DVDRip TrueHD.7.1 H.264.mkv,,3,,,tv,1080p,7,DVDRip,,Interstellar,
[Underwater] Fullmetal Alchemist - 10 [720p].mkv,,10,,,anime,,,,Underwater,Fullmetal Alchemist,
The-Matrix-1991-2160p-BDRip-x265-VEXT.mkv,x265,,,,movie,2160p,,BDRip,,The Matrix,1991
[MTBB] The Mandalorian - 11 [2160p].mkv,,11,,,anime,,,,MTBB,The Mandalorian,
[Judas] Pulp Fiction - 10 [720p].mkv,,10,,,anime,,,,Judas,Pulp Fiction,
[Judas] One Piece - 04 [BD][720p][Uncensored].mkv,,4,,,anime,720p,,,Judas,One Piece,
Fight-Club-1992-REPACK-2160p-BDRip-HEVC-.SPARKS.mkv,HEVC,,,,movie,2160p,,BDRip,,Fight Club,1992
The_Mandalorian_3x16_Pilot_1080p_NETFLIX_HEVC_.GROUP.mkv,,16,Aftermath,,tv,1080p,3,NETFLIX,,The Mandalorian,
[MTBB] Fullmetal Alchemist - 24 [1080p][HEVC].mkv,,24,,,anime,1080p,,,MTBB,Fullmetal Alchemist,
[HorribleSubs] Stranger Things - 12 [1440p].mkv,,12,,,anime,,,,HorribleSubs,Stranger Things,
My_Hero_Academia_1998_1080p_BDRip_AVC.mkv,AVC,,,,movie,1080p,,BDRip,,My Hero Academia,1998
Attack on Titan 2015 1080p WEB-DL x265 .VEXT.mkv,x265,,,,movie,1080p,,WEB-DL,,Attack on Titan,2015
Demon-Slayer-1990-480p-WEB-DL-AAC-x265.mkv,x265,,,,movie,480p,,WEB-DL,,Demon Slayer,1990
The-Dark-Knight-8x17-Revelations-2160p-BluRay-x264.mkv,,17,Aftermath,,tv,2160p,8,BluRay,,The Dark Knight,
The Dark Knight 10x20 480p HDR AAC BluRay x265 -AMIABLE.mkv,,20,,,tv,480p,10,BluRay,,The Dark Knight,
The Office 1997.06.01 480p BluRay DTS-HD.MA.5.1 HEVC.mkv,,,,,tv,480p,,BluRay,,The Office,
The Mandalorian S11E02 Legacy 480p AMZN XVID .FraMeSToR.mkv,,2,Origins,,tv,480p,11,AMZN,,The Mandalorian,
Death.Note.2015.720p.WEBRip.AVC.mkv,,,,,movie,720p,,,,Death Note,2015
The.Matrix.1999.1440p.WEB-DL.XVID.mkv,,,,,movie,1440p,,,,The Matrix,1999
Demon_Slayer_2018.02.24_720p_PROPER_HDTV_x264_.RARBG.mkv,,,,,tv,720p,,HDTV,,Demon Slayer,
Pulp_Fiction_2009_1440p_WEBRip_H.264_.GROUP.mkv,H.264,,,,movie,1440p,,WEBRip,,Pulp Fiction,2009
The_Dark_Knight.S07E09.The_Beginning.480p.mkv,,9,The Beginning,,tv,,7,,,The Dark Knight,
Fullmetal-Alchemist-1999-720p-WEBRip-HEVC-.AMIABLE.mkv,HEVC,,,,movie,720p,,WEBRip,,Fullmetal Alchemist,1999
[SubsPlease] Inception.-.19.(1440p).mkv,,19,,,anime,1440p,,,SubsPlease,Inception,
The-Shawshank-Redemption.1993.1440p.AMZN.XVID.mkv,,,,,movie,1440p,,,,The Shawshank Redemption,1993
Fight Club 12x24 720p BluRay x265 -YIFY.mkv,,24,,,tv,720p,12,BluRay,,Fight Club,
[MTBB] The Mandalorian - 16 [480p][10bit].mkv,,16,,,anime,480p,,,MTBB,The Mandalorian,
Fullmetal Alchemist S12E04E05 Legacy 1080p AC3 DVDRip AVC .GROUP.mkv,,4,The End,,tv,1080p,12,DVDRip,,Fullmetal Alchemist,
Jujutsu_Kaisen_1991_ITALIAN_1440p_WEB-DL_XVID_-VEXT.mkv,XVID,,,ITALIAN,movie,1440p,,WEB-DL,,Jujutsu Kaisen,1991
The Shawshank Redemption.1990.720p.WEB-DL.HEVC.mkv,,,,,movie,720p,,,,The Shawshank Redemption,1990
The.Office.2004.720p.NETFLIX.AVC.mkv,,,,,movie,720p,,,,The Office,2004
Avengers Endgame 2016.03.16 1080p BluRay HEVC .FraMeSToR.mkv,,,,,tv,1080p,,BluRay,,Avengers Endgame,
[HorribleSubs] The Shawshank Redemption - 18 [BD][480p][DualAudio].mkv,,18,,,anime,480p,,,HorribleSubs,The Shawshank Redemption,
[Judas] The Office - 17 [720p][10bit].mkv,,17,,,anime,720p,,,Judas,The Office,
Attack on Titan S05E02E03 The End 720p DVDRip x265 -RARBG.mkv,,2,Revelations,,tv,720p,5,DVDRip,,Attack on Titan,
[Judas] The Matrix - 01 [2160p].mkv,,1,,,anime,,,,Judas,The Matrix,
Avengers-Endgame-1994-720p-NETFLIX-DTS-HD.MA.5.1-XVID-.FraMeSToR.mkv,XVID,,,,movie,720p,,NETFLIX,,Avengers Endgame,1994
The.Dark.Knight.s14e05.480p.WEBRip.mkv,,5,,,tv,,14,,,The Dark Knight,
One-Piece-S15E04-2160p-HDTV-x265-AMIABLE.mkv,,4,,,tv,2160p,15,HDTV,,One Piece,
Attack_on_Titan_2002_1080p_HULU_DDP5.1_AVC.mkv,AVC,,,,movie,1080p,,HULU,,Attack on Titan,2002
The-Matrix-1987-1080p-BDRip-x265-AMIABLE.mkv,x265,,,,movie,1080p,,BDRip,,The Matrix,1987
The-Matrix-2024.09.07-The-End-2160p-WEBRip-XVID-.GROUP.mkv,,,Pilot,,tv,2160p,,WEBRip,,The Matrix,
[Underwater] Fight Club - 01 [720p].mkv,,1,,,anime,,,,Underwater,Fight Club,
[SubsPlease] The.Dark.Knight.-.19.(2160p).mkv,,19,,,anime,2160p,,,SubsPlease,The Dark Knight,
Attack-on-Titan-2004-SPANISH-720p-BluRay-H.264-YIFY.mkv,H.264,,,SPANISH,movie,720p,,BluRay,,Attack on Titan,2004
[Erai-raws] The.Mandalorian.-.21.(2160p).mkv,,21,,,anime,2160p,,,Erai-raws,The Mandalorian,
Naruto.S11E5.1440p.DVDRip.mkv,,5,,,tv,,11,,,Naruto,
[Judas] Parasite - 10 [BD][720p][Uncensored].mkv,,10,,,anime,720p,,,Judas,Parasite,
Fight Club 1988 480p BDRip x264 .VEXT.mkv,x264,,,,movie,480p,,BDRip,,Fight Club,1988
Jujutsu-Kaisen-1996-2160p-BDRip-AVC-.VEXT.mkv,AVC,,,,movie,2160p,,BDRip,,Jujutsu Kaisen,1996
One-Piece-2015-2160p-HULU-x264-.AMIABLE.mkv,x264,,,,movie,2160p,,HULU,,One Piece,2015
The.Office.S08E12.Revelations.1080p.mkv,,12,Revelations,,tv,,8,,,The Office,
Stranger_Things_S10E14E15_The_Beginning_1440p_DTS_WEBRip_x264.mkv,,14,Revelations,,tv,1440p,10,WEBRip,,Stranger Things,
[Erai-raws] The Shawshank Redemption - 10 [720p].mkv,,10,,,anime,,,,Erai-raws,The Shawshank Redemption,
Pulp-Fiction-1982.04.25-Revelations-720p-WEB-DL-H.264-SPARKS.mkv,,,Legacy,,tv,720p,,WEB-DL,,Pulp Fiction,
One_Piece_1989.06.16_The_End_2160p_DD5.1_AMZN_HEVC_-GROUP.mkv,,,Legacy,,tv,2160p,,AMZN,,One Piece,
Game_of_Thrones_2004.07.14_1440p_NETFLIX_AVC_-SPARKS.mkv,,,,,tv,1440p,,NETFLIX,,Game of Thrones,
My_Hero_Academia.2013.720p.BDRip.HEVC.mkv,,,,,movie,720p,,,,My Hero Academia,2013
Stranger_Things_2024_2160p_BluRay_x264.mkv,x264,,,,movie,2160p,,BluRay,,Stranger Things,2024
Naruto 1996 KOREAN 480p HDTV x264.mkv,x264,,,KOREAN,movie,480p,,HDTV,,Naruto,1996
Demon_Slayer_2009_UNRATED_1080p_WEB-DL_AVC_-FraMeSToR.mkv,AVC,,,,movie,1080p,,WEB-DL,,Demon Slayer,2009
Naruto_2017_480p_WEBRip_AAC_H.264_.AMIABLE.mkv,H.264,,,,movie,480p,,WEBRip,,Naruto,2017
Pulp-Fiction-1993-1080p-WEBRip-x265-.FraMeSToR.mkv,x265,,,,movie,1080p,,WEBRip,,Pulp Fiction,1993
The.Office.2006.480p.HDTV.AVC.mkv,,,,,movie,480p,,,,The Office,2006
[Underwater] The Mandalorian - 13 [1440p][Multiple Subtitle].mkv,,13,,,anime,1440p,,,Underwater,The Mandalorian,
Demon_Slayer_2010_1440p_HDTV_HEVC_.RARBG.mkv,HEVC,,,,movie,1440p,,HDTV,,Demon Slayer,2010
One_Piece_S03E07_The_End_480p_HULU_x264_-AMIABLE.mkv,,7,Pilot,,tv,480p,3,HULU,,One Piece,
Interstellar.S13E10.720p.DVDRip.mkv,,10,,,tv,,13,,,Interstellar,
Fullmetal-Alchemist-3x01-The-Beginning-480p-WEBRip-XVID.mkv,,1,New Dawn,,tv,480p,3,WEBRip,,Fullmetal Alchemist,
Naruto S14E03E04 The Beginning 720p DD5.1 BluRay x264 .FraMeSToR.mkv,,3,The End,,tv,720p,14,BluRay,,Naruto,
Friends_2005_1440p_HDTV_MP3_AVC_-AMIABLE.mkv,AVC,,,,movie,1440p,,HDTV,,Friends,2005
My-Hero-Academia-1985.08.09-480p-WEBRip-H.264-GROUP.mkv,,,,,tv,480p,,WEBRip,,My Hero Academia,
Demon_Slayer_2019_SWEDISH_720p_WEB-DL_DDP5.1_HEVC_.YIFY.mkv,HEVC,,,SWEDISH,movie,720p,,WEB-DL,,Demon Slayer,2019
Attack on Titan 2011 FRENCH 480p BDRip TrueHD.7.1 H.264 -FraMeSToR.mkv,H.264,,,FRENCH,movie,480p,,BDRip,,Attack on Titan,2011
[Underwater] The Matrix - 11 [1080p].mkv,,11,,,anime,1080p,,,Underwater,The Matrix,
[Commie] Demon Slayer - 12 [2160p][Multiple Subtitle].mkv,,12,,,anime,2160p,S2,,Commie,Demon Slayer,
Death-Note-2005-1440p-NETFLIX-AAC-AVC-.FraMeSToR.mkv,AVC,,,,movie,1440p,,NETFLIX,,Death Note,2005
Friends-S06E07-The-Beginning-1440p-AAC-AMZN-HEVC-YIFY.mkv,,7,Aftermath,,tv,1440p,6,AMZN,,Friends,
[Commie] Death Note - 07 [BD][720p][DualAudio].mkv,,7,,,anime,720p,,,Commie,Death Note,
[Underwater] The.Mandalorian.-.06.(1080p).mkv,,6,,,anime,1080p,,,Underwater,The Mandalorian,
Pulp_Fiction_1991.10.19_1440p_UNRATED_FLAC_WEBRip_x264_.FraMeSToR.mkv,,,,,tv,1440p,,WEBRip,,Pulp Fiction,
The-Mandalorian-2007-720p-WEBRip-AAC-XVID.mkv,XVID,,,,movie,720p,,WEBRip,,The Mandalorian,2007
One Piece.S12E05.Legacy.720p.mkv,,5,Legacy,,tv,,12,,,One Piece,
Pulp-Fiction-2014-SPANISH-720p-WEBRip-AVC-FraMeSToR.mkv,AVC,,,SPANISH,movie,720p,,WEBRip,,Pulp Fiction,2014
The Godfather.S11E12.Legacy.1440p.mkv,,12,Legacy,,tv,,11,,,The Godfather,
Attack on Titan 2022 480p HDTV H.264.mkv,H.264,,,,movie,480p,,HDTV,,Attack on Titan,2022
The_Dark_Knight_S02E07_2160p_IMAX_NETFLIX_x264.mkv,,7,,,tv,2160p,2,NETFLIX,,The Dark Knight,
One Piece.S11E04.Revelations.720p.mkv,,4,Revelations,,tv,,11,,,One Piece,
The_Shawshank_Redemption_2019.10.04_2160p_NETFLIX_XVID_.AMIABLE.mkv,,,,,tv,2160p,,NETFLIX,,The Shawshank Redemption,
Attack_on_Titan.1983.480p.AMZN.x264.mkv,,,,,movie,480p,,,,Attack on Titan,1983
The_Shawshank_Redemption_2000.12.22_Origins_480p_AC3_WEBRip_XVID_-SPARKS.mkv,,,Legacy,,tv,480p,,WEBRip,,The Shawshank Redemption,
Breaking-Bad-S10E11-The-Beginning-HDR-TrueHD.7.1-1080p-NETFLIX-HEVC-FraMeSToR.mkv,,11,Aftermath,,tv,1080p,10,NETFLIX,,Breaking Bad,
The_Godfather_2017_UNRATED_2160p_BluRay_H.264.mkv,H.264,,,,movie,2160p,,BluRay,,The Godfather,2017
My_Hero_Academia_1996_2160p_BluRay_FLAC_x265_.GECKOS.mkv,x265,,,,movie,2160p,,BluRay,,My Hero Academia,1996
My-Hero-Academia-S02E16-Origins-1440p-DDP5.1-HULU-H.264-RARBG.mkv,,16,The Beginning,,tv,1440p,2,HULU,,My Hero Academia,
Friends 2002 REPACK 2160p AMZN x264 -SPARKS.mkv,x264,,,,movie,2160p,,AMZN,,Friends,2002
Death-Note.S08E14.Origins.1440p.mkv,,14,Origins,,tv,,8,,,Death Note,
The_Matrix_1989_2160p_DVDRip_MP3_H.264.mkv,H.264,,,,movie,2160p,,DVDRip,,The Matrix,1989
Friends.S11E20.Revelations.480p.mkv,,20,Revelations,,tv,,11,,,Friends,
My Hero Academia S02E18 Legacy 720p AAC WEBRip XVID .GROUP.mkv,,18,New Dawn,,tv,720p,2,WEBRip,,My Hero Academia,
Demon Slayer S08E07E08 Aftermath 1080p DVDRip H.264 -AMIABLE.mkv,,7,Legacy,,tv,1080p,8,DVDRip,,Demon Slayer,
[Erai-raws] Death Note - 06 [BD][480p][DualAudio].mkv,,6,,,anime,480p,,,Erai-raws,Death Note,
[Erai-raws] The Dark Knight - 11 [1440p].mkv,,11,,,anime,1440p,,,Erai-raws,The Dark Knight,
[SubsPlease] Demon Slayer - 21 [2160p].mkv,,21,,,anime,,,,SubsPlease,Demon Slayer,
Game-of-Thrones-2003-10bit-1080p-WEB-DL-XVID-VEXT.mkv,XVID,,,,movie,1080p,,WEB-DL,,Game of Thrones,2003
[Judas] One Piece - 06 [1080p].mkv,,6,,,anime,,,,Judas,One Piece,
Avengers-Endgame-14x04-1440p-HDTV-HEVC-.RARBG.mkv,,4,,,tv,1440p,14,HDTV,,Avengers Endgame,
Fullmetal-Alchemist-1992-FRENCH-1080p-BDRip-H.264.mkv,H.264,,,FRENCH,movie,1080p,,BDRip,,Fullmetal Alchemist,1992
Game.of.Thrones.s05e13.480p.BluRay.mkv,,13,,,tv,,5,,,Game of Thrones,
[Judas] Breaking.Bad.-.20.(1440p).mkv,,20,,,anime,1440p,,,Judas,Breaking Bad,
Naruto-2011-REMASTERED-1440p-BluRay-x264-.AMIABLE.mkv,x264,,,,movie,1440p,,BluRay,,Naruto,2011
Inception-11x16-1440p-BluRay-H.264-.GECKOS.mkv,,16,,,tv,1440p,11,BluRay,,Inception,
Interstellar-S10E07-08-Aftermath-1080p-BDRip-x264-GECKOS.mkv,,7,The Beginning,,tv,1080p,10,BDRip,,Interstellar,
[Judas] Attack on Titan - 15 [480p].mkv,,15,,,anime,480p,,,Judas,Attack on Titan,
[Judas] Death Note S3 - 04 [BD][2160p][Uncensored].mkv,,4,,,anime,2160p,S3,,Judas,Death Note,
Friends.2015.720p.BluRay.AVC.mkv,,,,,movie,720p,,,,Friends,2015
[HorribleSubs] The Office - 08 [1440p][HEVC].mkv,,8,,,anime,1440p,,,HorribleSubs,The Office,
The-Matrix-S07E02-1440p-HDTV-TrueHD.7.1-H.264.mkv,,2,,,tv,1440p,7,HDTV,,The Matrix,
[Erai-raws] Friends - 17 [1080p][Multiple Subtitle].mkv,,17,,,anime,1080p,,,Erai-raws,Friends,
One Piece.s05e17.1440p.DVDRip.mkv,,17,,,tv,,5,,,One Piece,
The-Matrix-2007-IMAX-720p-DVDRip-HEVC-.VEXT.mkv,HEVC,,,,movie,720p,,DVDRip,,The Matrix,2007
The_Godfather_S10E01_New_Dawn_1080p_BluRay_x264.mkv,,1,Aftermath,,tv,1080p,10,BluRay,,The Godfather,
Game.of.Thrones.s04e23.1440p.NETFLIX.mkv,,23,,,tv,,4,,,Game of Thrones,
One_Piece_S12E17_Aftermath_720p_NETFLIX_XVID_-YIFY.mkv,,17,Legacy,,tv,720p,12,NETFLIX,,One Piece,
[SubsPlease] The Mandalorian - 18 [720p][10bit].mkv,,18,,,anime,720p,,,SubsPlease,The Mandalorian,
Game-of-Thrones-2024-EXTENDED-1440p-WEBRip-HEVC-.FraMeSToR.mkv,HEVC,,,,movie,1440p,,WEBRip,,Game of Thrones,2024
[MTBB] The.Office.-.17.(2160p).mkv,,17,,,anime,2160p,,,MTBB,The Office,
[MTBB] The Office S3 - 10 [1440p].mkv,,10,,,anime,1440p,S3,,MTBB,The Office,
The_Godfather_1992.03.26_1080p_AMZN_DTS-HD.MA.5.1_x265_-GROUP.mkv,,,,,tv,1080p,,AMZN,,The Godfather,
[SubsPlease] Game of Thrones - 22 [BD][480p][DualAudio].mkv,,22,,,anime,480p,,,SubsPlease,Game of Thrones,
One Piece 1993 EXTENDED 1080p AAC WEBRip x264 -VEXT.mkv,x264,,,,movie,1080p,,WEBRip,,One Piece,1993
Naruto_1995_480p_HDTV_XVID_-SPARKS.mkv,XVID,,,,movie,480p,,HDTV,,Naruto,1995
Breaking_Bad_1982_SWEDISH_2160p_HULU_HEVC.mkv,HEVC,,,SWEDISH,movie,2160p,,HULU,,Breaking Bad,1982
The-Shawshank-Redemption-1981-REMUX-1440p-AAC-NETFLIX-AVC.mkv,AVC,,,,movie,1440p,,NETFLIX,,The Shawshank Redemption,1981
Naruto-S08E10E11-Pilot-REMUX-2160p-HULU-AVC-.GECKOS.mkv,,10,Pilot,,tv,2160p,8,HULU,,Naruto,
Death_Note.S03E07.Revelations.1080p.mkv,,7,Revelations,,tv,,3,,,Death Note,
Stranger Things 1986 1080p BluRay x264.mkv,x264,,,,movie,1080p,,BluRay,,Stranger Things,1986
Naruto S07E09 Aftermath 2160p MP3 AMZN HEVC .AMIABLE.mkv,,9,The End,,tv,2160p,7,AMZN,,Naruto,
Naruto.1987.1080p.DVDRip.H.264.mkv,,,,,movie,1080p,,,,Naruto,1987
Inception_2023.12.17_The_Beginning_DC_AC3_2160p_AMZN_x264_-FraMeSToR.mkv,,,Legacy,,tv,2160p,,AMZN,,Inception,
Fullmetal_Alchemist_S13E09_480p_PROPER_WEB-DL_x265_-AMIABLE.mkv,,9,,,tv,480p,13,WEB-DL,,Fullmetal Alchemist,
Interstellar-S13E24-New-Dawn-PROPER-DDP5.1-1080p-NETFLIX-XVID-.GROUP.mkv,,24,Origins,,tv,1080p,13,NETFLIX,,Interstellar,
The_Dark_Knight_S09E18-19_Legacy_1080p_BDRip_AVC_-FraMeSToR.mkv,,18,Pilot,,tv,1080p,9,BDRip,,The Dark Knight,
The-Shawshank-Redemption-4x02-1080p-NETFLIX-HEVC.mkv,,2,,,tv,1080p,4,NETFLIX,,The Shawshank Redemption,
The-Mandalorian-2005-480p-BluRay-FLAC-H.264-FraMeSToR.mkv,H.264,,,,movie,480p,,BluRay,,The Mandalorian,2005
Fullmetal Alchemist 1996 720p WEB-DL DTS x265.mkv,x265,,,,movie,720p,,WEB-DL,,Fullmetal Alchemist,1996
[Erai-raws] The Matrix - 22 [BD][1440p][DualAudio].mkv,,22,,,anime,1440p,,,Erai-raws,The Matrix,
Parasite.5x03.480p.NETFLIX.mkv,,3,,,tv,,5,,,Parasite,
The_Dark_Knight_2006_720p_DVDRip_FLAC_XVID_.GECKOS.mkv,XVID,,,,movie,720p,,DVDRip,,The Dark Knight,2006
Demon_Slayer.s02e17.1440p.WEBRip.mkv,,17,,,tv,,2,,,Demon Slayer,
[Underwater] Demon Slayer - 01 [1080p][Multiple Subtitle].mkv,,1,,,anime,1080p,S3,,Underwater,Demon Slayer,
The_Mandalorian.13x15.480p.HDTV.mkv,,15,,,tv,,13,,,The Mandalorian,
The_Dark_Knight.7x17.2160p.DVDRip.mkv,,17,,,tv,,7,,,The Dark Knight,
Breaking_Bad_S15E13_Revelations_IMAX_2160p_HDTV_x265_.RARBG.mkv,,13,The End,,tv,2160p,15,HDTV,,Breaking Bad,
Demon.Slayer.S09E20.Origins.1440p.mkv,,20,Origins,,tv,,9,,,Demon Slayer,
Pulp-Fiction-2015-REMUX-720p-AMZN-x265.mkv,x265,,,,movie,720p,,AMZN,,Pulp Fiction,2015
The_Office_S07E09_480p_DVDRip_DTS-HD.MA.5.1_x265_-FraMeSToR.mkv,,9,,,tv,480p,7,DVDRip,,The Office,
[HorribleSubs] The Shawshank Redemption - 08 [480p].mkv,,8,,,anime,,,,HorribleSubs,The Shawshank Redemption,
Stranger Things S15E22-23 1080p DVDRip FLAC x265 -FraMeSToR.mkv,,22,,,tv,1080p,15,DVDRip,,Stranger Things,
Friends.S11E21.Aftermath.2160p.mkv,,21,Aftermath,,tv,,11,,,Friends,
